Title;GGS Rating
INTERNATIONAL CONFERENCE ON INFRARED AND MILLIMETER WAVES;Work in Progress
IEEE MTT-S INTERNATIONAL MICROWAVE WORKSHOP SERIES ON INNOVATIVE WIRELESS POWER TRANSMISSION;Work in Progress
INTELLIGENT NETWORKING AND COLLABORATIVE SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTING FOR SUSTAINABLE GLOBAL DEVELOPMENT;Work in Progress
IEEE INDIA CONFERENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS;B
INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN INDIA;B
INTERNATIONAL CONFERENCE ON INTELLIGENT ENGINEERING SYSTEMS;Work in Progress
CONFERENCE ON COMPUTER COMMUNICATIONS WORKSHOPS;Work in Progress
ANNUAL JOINT CONFERENCE OF THE IEEE COMPUTER AND COMMUNICATIONS SOCIETIES;A++
INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATIONS AND COMPUTATION;Work in Progress
SCALABLE INFORMATION SYSTEMS;Work in Progress
INFORMATION SECURITY CURRICULUM DEVELOPMENT;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENCE IN NEXT GENERATION NETWORKS;Work in Progress
INTERNATIONAL SYMPOSIUM ON INNOVATIONS IN INTELLIGENT SYSTEMS AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE GENERATION;Work in Progress
INTERNATIONAL NETWORK OPTIMIZATION CONFERENCE;Work in Progress
INFORMATION SECURITY AND CRYPTOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON NETWORKED SENSING SYSTEMS;Work in Progress
INTERNATIONAL TELECOMMUNICATIONS ENERGY CONFERENCE;Work in Progress
IFIP TC13 CONFERENCE ON HUMAN-COMPUTER INTERACTION;B
IEEE INTERNATIONAL MAGNETICS CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING;A
INTELLIGENT TECHNOLOGIES FOR INTERACTIVE ENTERTAINMENT;Work in Progress
IEEE INTERNATIONAL ON-LINE TESTING SYMPOSIUM;Work in Progress
THE INTERNET OF THINGS;Work in Progress
INTERNATIONAL PROVENANCE AND ANNOTATION WORKSHOP;B-
INTERNATIONAL PROFESSIONAL COMMUNICATION CONFERENCE;Work in Progress
IEEE INTERNATIONAL PERFORMANCE COMPUTING AND COMMUNICATIONS CONFERENCE;B
CONFERENCE ON INTEGER PROGRAMMING AND COMBINATORIAL OPTIMIZATION;B
IEEE INTERNATIONAL PARALLEL AND DISTRIBUTED PROCESSING SYMPOSIUM;A
IEEE INTERNATIONAL SYMPOSIUM ON PARALLEL & DISTRIBUTED PROCESSING, WORKSHOPS AND PHD FORUM;Work in Progress
INTERNATIONAL SYMPOSIUM ON PARAMETERIZED AND EXACT COMPUTATION;B
INTERNATIONAL POWER ELECTRONICS AND MOTION CONTROL CONFERENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON THE PHYSICAL AND FAILURE ANALYSIS OF INTEGRATED CIRCUITS;Work in Progress
INTERNATIONAL CONFERENCE ON INDOOR POSITIONING AND INDOOR NAVIGATION;Work in Progress
INFORMATION PROCESSING IN MEDICAL IMAGING;Work in Progress
INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY;Work in Progress
INTERNATIONAL PARALLEL PROCESSING SYMPOSIUM;A-
INFORMATION PROCESSING IN SENSOR NETWORKS;A++
INFORMATION PROCESSING AND TRUSTED COMPUTING;Work in Progress
PRINCIPLES, SYSTEMS AND APPLICATIONS OF IP TELECOMMUNICATIONS;Work in Progress
INTERNATIONAL WORKSHOP ON PEER-TO-PEER SYSTEMS;A-
INTERNATIONAL QUANTUM ELECTRONICS CONFERENCE;Work in Progress
IRE INTERNATIONAL CONVENTION RECORD;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON INFORMATION REUSE AND INTEGRATION;Work in Progress
INTERNATIONAL CONFERENCE ON INFRARED, MILLIMETER, AND TERAHERTZ WAVES;Work in Progress
IEEE/RJS INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS;A+
INTERNATIONAL RELIABILITY PHYSICS SYMPOSIUM;Work in Progress
INTERNATIONAL RADAR SYMPOSIUM;Work in Progress
INTERNATIONAL SYMPOSIUM ON END-USER DEVELOPMENT;Work in Progress
INFORMATION SECURITY AND ASSURANCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON ALGORITHMS AND COMPUTATION;B
APPLIED SCIENCES ON BIOMEDICAL AND COMMUNICATION TECHNOLOGIES;Work in Progress
INTERNATIONAL SYMPOSIUM ON AUTONOMOUS DECENTRALIZED SYSTEMS;Work in Progress
CONFERENCE FOR THE INTERNATIONAL SIMULATION AND GAMING ASSOCIATION;Work in Progress
INTERNATIONAL SYMPOSIUM ON ARTIFICIAL INTELLIGENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON ARTIFICIAL INTELLIGENCE AND MATHEMATICS;Work in Progress
INTERNATIONAL SYMPOSIUM ON ANTENNAS AND PROPAGATION;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEM APPLICATIONS TO POWER SYSTEMS;Work in Progress
INTERNATIONAL SYMPOSIUM ON AUTOMATION AND ROBOTICS IN CONSTRUCTION;Work in Progress
INTERNATIONAL CONFERENCE INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING: FROM NANO TO MACRO;B
INTERNATIONAL SYMPOSIUM ON BIOINFORMATICS RESEARCH AND APPLICATIONS;Work in Progress
INFORMATION SECURITY CONFERENCE;B-
ACM INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE;A++
IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS;A-
IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS;B
INTERNATIONAL SYMPOSIUM ON COMMUNICATIONS, CONTROL AND SIGNAL PROCESSING;Work in Progress
INTERNATIONAL SYMPOSIUM ON CONSUMER ELECTRONICS;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMPUTER AND INFORMATION SCIENCES;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMMUNICATIONS AND INFORMATION TECHNOLOGIES;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMBINATORIAL OPTIMISATION;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS FOR CRISIS RESPONSE AND MANAGEMENT;Work in Progress
INTERNATIONAL SYMPOSIUM ON CHINESE SPOKEN LANGUAGE PROCESSING;Work in Progress
INTERNATIONAL SYMPOSIUM ON COMPUTER VISION;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS DEVELOPMENT;Work in Progress
INTELLIGENT SYSTEMS DESIGN AND APPLICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON DISCHARGES AND ELECTRICAL INSULATION IN VACUUM;Work in Progress
INTERNATIONAL SYMPOSIUM ON DISTRIBUTED OBJECTS AND APPLICATIONS;Work in Progress
INTERNATIONAL SEMICONDUCTOR DEVICE RESEARCH SYMPOSIUM;Work in Progress
INTERNATIONAL SYMPOSIUM ON ELECTRETS;Work in Progress
INDIA SOFTWARE ENGINEERING CONFERENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON ELECTRONIC COMMERCE AND SECURITY;Work in Progress
INTERNATIONAL SYMPOSIUM ON ELECTRONICS AND THE ENVIRONMENT;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON ELECTRICAL INSULATION;Work in Progress
INTERNATIONAL SYMPOSIUM ON ELECTRICAL INSULATING MATERIALS;Work in Progress
INTERNATIONAL SYMPOSIUM ON EXPERIMENTAL ROBOTICS;B
INTERNATIONAL SYMPOSIUM ON EMPIRICAL SOFTWARE ENGINEERING;B
IEEE INTERNATIONAL SYMPOSIUM ON FAULT-TOLERANT COMPUTING;Work in Progress
INTERNATIONAL SYMPOSIUM ON GRIDS AND CLOUDS (WAS INTERNATIONAL SYMPOSIUM ON GRID COMPUTING);Work in Progress
IEEE PES INNOVATIVE SMART GRID TECHNOLOGIES EUROPE;Work in Progress
IEEE PES INNOVATIVE SMART GRID TECHNOLOGIES CONFERENCE;Work in Progress
IEEE INTELLIGENCE AND SECURITY INFORMATICS;B-
IEEE INTERNATIONAL SYMPOSIUM ON INTELLIGENT CONTROL;Work in Progress
INTERNATIONAL SYMPOSIUM ON INFORMATION AND COMMUNICATION TECHNOLOGIES;Work in Progress
INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS;Work in Progress
IEEE SYMPOSIUM ON INDUSTRIAL ELECTRONICS AND APPLICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON INFORMATION PROCESSING;Work in Progress
INTERNATIONAL SYMPOSIUM ON IMPRECISE PROBABILITIES AND THEIR APPLICATIONS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY;A-
INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY AND ITS APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND KNOWLEDGE ENGINEERING;Work in Progress
INTERNATIONAL SYMPOSIUM ON LOW POWER ELECTRONICS AND DESIGN;A
IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA;Work in Progress
INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY;A
INTELLIGENT SYSTEMS IN MOLECULAR BIOLOGY;Not Rated (now published as journal)
INTERNATIONAL CONFERENCE ON MUSIC INFORMATION RETRIEVAL;A
INTERNATIONAL SYPOSIUM ON METHODOLOGIES FOR INTELLIGENT SYSTEMS;Work in Progress
INTERNATIONAL SYMPOSIUM ON MEMORY MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS, MODELLING AND SIMULATION;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON MULTIPLE-VALUED LOGIC;Work in Progress
INTERNATIONAL SYMPOSIUM ON NETWORKS, COMPUTERS AND COMMUNICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON NEURAL NETWORKS;Work in Progress
INTERNATIONAL SOC DESIGN CONFERENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON LEVERAGING APPLICATIONS OF FORMAL METHODS, VERIFICATION AND VALIDATION;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON OBJECT-ORIENTED REAL-TIME DISTRIBUTED COMPUTING;B-
IEEE INTERNATIONAL SYMPOSIUM ON INTELLIGENT SIGNAL PROCESSING,;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON PARALLEL AND DISTRIBUTED PROCESSING WITH APPLICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON INTELLIGENT SIGNAL PROCESSING AND COMMUNICATION SYSTEMS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON PERFORMANCE ANALYSIS OF SYSTEMS AND SOFTWARE;A-
INTERNATIONAL SYMPOSIUM ON PRECISION CLOCK SYNCHRONIZATION FOR MEASUREMENT CONTROL AND COMMUNICATION;Work in Progress
ACM INTERNATIONAL SYMPOSIUM ON PHYSICAL DESIGN;B
INTERNATIONAL SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING;Work in Progress
INFORMATION SECURITY PRACTICE AND EXPERIENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON POWER LINE COMMUNICATIONS AND ITS APPLICATIONS;Work in Progress
ANNUAL INTERNATIONAL WORKSHOP ON PRESENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON POWER SEMICONDUCTOR DEVICES AND IC'S;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON QUALITY ELECTRONIC DESIGN;B
INTERNATIONAL SYMPOSIUM ON ROBOTICS;Work in Progress
INTERNATIONAL SYMPOSIUM OF ROBOTICS RESEARCH;B
ACM INTERNATIONAL CONFERENCE ON INTERACTIVE SURFACES AND SPACES (WAS INTERNATIONAL WORKSHOP ON HORIZONTAL INTERACTIVE HUMAN-COMPUTER SYSTEMS: TABLETOP);Work in Progress
INFORMATION SECURITY FOR SOUTH AFRICA;Work in Progress
IRISH SIGNALS AND SYSTEMS CONFERENCE;Work in Progress
IEEE INTERNATIONAL SOLID-STATE CIRCUITS CONFERENCE;A
INTERNATIONAL SYMPOSIUM ON SIGNALS, CIRCUITS AND SYSTEMS;Work in Progress
INTERNATIONAL SYMPOSIUM ON SPATIAL DATA QUALITY;Work in Progress
INTERNATIONAL SPRING SEMINAR ON ELECTRONICS TECHNOLOGY;Work in Progress
INTERNATIONAL SYMPOSIUM ON SEMICONDUCTOR MANUFACTURING;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT SENSORS, SENSOR NETWORKS AND INFORMATION;Work in Progress
INTELLIGENT SENSORS, SENSOR NETWORKS AND INFORMATION PROCESSING CONFERENCE;Work in Progress
INFORMATION SCIENCES, SIGNAL PROCESSING AND THEIR APPLICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON SIGNAL PROCESSING AND INFORMATION TECHNOLOGY;Work in Progress
INTERNATIONAL SYMPOSIUM ON SOFTWARE RELIABILITY ENGINEERING;B
INTERNATIONAL SYMPOSIUM ON SYSTEMS SYNTHESIS;Work in Progress
INTERNATIONAL SYMPOSIUM ON SIGNALS, SYSTEMS AND ELECTRONICS;Work in Progress
INTERNATIONAL SYMPOSIUM ON SPREAD SPECTRUM TECHNIQUES AND APPLICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON SOFTWARE TESTING AND ANALYSIS;A+
INTERNATIONAL SYMPOSIUM ON TELECOMMUNICATIONS;Work in Progress
INTERNATIONAL SYMPOSIUM ON TECHNOLOGY AND SOCIETY;Work in Progress
INTERNATIONAL SYMPOSIUM ON TURBO CODES AND ITERATIVE INFORMATION PROCESSING;Work in Progress
IST MOBILE AND WIRELESS COMMUNICATIONS SUMMIT;Work in Progress
INTERNATIONAL SYMPOSIUM ON UBIQUITOUS VIRTUAL REALITY;Work in Progress
INTERNATIONAL SYMPOSIUM ON VISUAL COMPUTING;Work in Progress
IEEE COMPUTER SOCIETY ANNUAL SYMPOSIUM ON VLSI;Work in Progress
INTERNATIONAL SEMANTIC WEB CONFERENCE;A+
INTERNATIONAL SYMPOSIUM ON WIRELESS COMMUNICATION SYSTEMS;B
IEEE INTERNATIONAL SYMPOSIUM ON WEARABLE COMPUTERS;Work in Progress
INTERNATIONAL SYMPOSIUM ON WIRELESS PERVASIVE COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON INTERNET TECHNOLOGIES AND APPLICATIONS;Work in Progress
CONFERENCE ON THEORY AND PRACTICE OF INFORMATION TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY IN BIO- AND MEDICAL INFORMATICS;Work in Progress
INTERNATIONAL TEST CONFERENCE;A-
INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY: CODING AND COMPUTING;Work in Progress
INNOVATIONS IN THEORETICAL COMPUTER SCIENCE;Work in Progress
IEEE TRANSPORTATION ELECTRIFICATION CONFERENCE AND EXPO;Work in Progress
INTERSOCIETY CONFERENCE ON THERMAL AND THERMOMECHANICAL PHENOMENA IN ELECTRONIC SYSTEMS;Work in Progress
INFORMATION TECHNOLOGY BASED HIGHER EDUCATION AND TRAINING;Work in Progress
INFORMATION TECHNOLOGY INTERFACES;Work in Progress
ANNUAL CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION;B
INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY NEW GENERATIONS;Work in Progress
INTERNATIONAL TELECOMMUNICATIONS NETWORK STRATEGY AND PLANNING SYMPOSIUM;Work in Progress
CONFERENCE ON INTERACTIVE THEOREM PROVING (PREVIOUSLY TPHOLS, CHANGED IN 2009);B-
INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY: RESEARCH AND EDUCATION;Work in Progress
INTERNATIONAL CONFERENCE ON INTELLIGENT TUTORING SYSTEMS;B
INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ITS TELECOMMUNICATIONS;Work in Progress
INFORMATION THEORY WORKSHOP;B
INTERNATIONAL CONFERENCE ON INTELLIGENT USER INTERFACES;A
INTEGRATED UNCERTAINTY IN KNOWLEDGE MODELLING AND DECISION MAKING;Work in Progress
INTERNALTIONAL ULTRASONICS SYMPOSIUM;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION VISUALISATION;B
APPLICATIONS OF INFORMATION VISUALIZATION;Work in Progress
INTELLIGENT VIRTUAL AGENTS;B
INFORMATION VISUALIZATION IN BIOMEDICAL INFORMATICS;Work in Progress
IMAGE AND VISION COMPUTING CONFERENCE;Work in Progress
CONFERENCE ON IMAGE AND VIDEO COMMUNICATIONS AND PROCESSING;Work in Progress
INTERNATIONAL VACUUM ELECTRONICS CONFERENCE;Work in Progress
INTERNATIONAL VACUUM ELECTRON SOURCES CONFERENCE;Work in Progress
INTERNATIONAL WORK-CONFERENCE ON ARTIFICIAL AND NATURAL NEURAL NETWORKS;Work in Progress
INTERNATIONAL WORKSHOP ON ANTENNA TECHNOLOGY;Work in Progress
INTERNATIONAL WORKSHOP ON COMPUTATIONAL ELECTRONICS;Work in Progress
INTERNATIONAL WORKSHOP ON COMBINATORIAL IMAGE ANALYSIS;Work in Progress
ACM INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE;B
IEEE INTERNATIONAL WORKSHOP ON CELLULAR NEURAL NETWORKS AND THEIR APPLICATIONS;Work in Progress
INTERNATIONAL WAVEFORM DIVERSITY AND DESIGN CONFERENCE;Work in Progress
INTERNATIONAL WORKSHOP ON DIGITAL WATERMARKING;Work in Progress
INTERNATIONAL WORK-CONFERENCE ON THE INTERPLAY BETWEEN NATURAL AND ARTIFICIAL COMPUTATION;Work in Progress
INTERNATIONAL WORKSHOP ON COMBINATORIAL ALGORITHM;Work in Progress
INTERNATIONAL WORKSHOP ON OPENMP;Work in Progress
INTERNATIONAL WORKSHOP ON SELF-ORGANIZING SYSTEMS;Work in Progress
INTERNATIONAL WORKSHOP ON PRINCIPLES OF SOFTWARE EVOLUTION;B-
INTERNATIONAL WORKSHOP/CONFERENCE ON PARSING TECHNOLOGIES;Work in Progress
INTERNATIONAL WORKSHOP ON QUALITY OF SERVICE;B
INTERNATIONAL WORKSHOP ON ROBOT MOTION AND CONTROL;Work in Progress
INTERNATIONAL WORKSHOP ON SOFTWARE CLONES;Work in Progress
INTERNATIONAL WORKSHOP ON SECURITY;Work in Progress
JOINT CONFERENCE OF THE INTERNATIONAL WORKSHOP ON SOFTWARE MEASUREMENT AND THE INTERNATIONAL CONFERENCE ON SOFTWARE PROCESS AND PRODUCT MEASUREMENT (IWSM AND MENSURA COMBINED FROM 2007);Work in Progress
INTERNATIONAL WORKSHOP ON SOFTWARE MEASUREMENT AND THE INTERNATIONAL CONFERENCE ON SOFTWARE PROCESS AND PRODUCT MEASUREMENT;Work in Progress
INTERNATIONAL WORKSHOP ON SOFTWARE SPECIFICATION AND DESIGN;Work in Progress
INTERNATIONAL CONFERENCE ON SYSTEMS, SIGNALS AND IMAGE PROCESSING;Work in Progress
INTERNATIONAL ZURICH SEMINAR ON DIGITAL COMMUNICATIONS;Work in Progress
INFORMING SCIENCE AND INFORMATION TECHNOLOGY EDUCATION;Work in Progress
INDIAN CONFERENCE ON HUMAN-COMPUTER INTERACTION;Work in Progress
INFORMATION VISUALISATION THEORY AND PRACTICE;Work in Progress
IEEE INTERNATIONAL SCIENTIFIC CONFERENCE ON INFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON INTERNET OF THINGS, BIG DATA AND SECURITY;Work in Progress
INTERNATIONAL CONFERENCE ON THE STATISTICAL ANALYSIS OF TEXTUAL DATA;Work in Progress
FALL JOINT COMPUTER CONFERENCE;Work in Progress
ACM IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES;B
JOINT INTERNATIONAL CONFERENCE ON INFORMATION SCIENCES;Work in Progress
JOINT CONFERENCE ON LEXICAL AND COMPUTATIONAL SEMANTICS;Work in Progress
JOINT EUROPEAN CONFERENCES ON THEORY AND PRACTICE OF SOFTWARE;Work in Progress
JOINT INTERNATIONAL CONFERENCE ON POWER ELECTRONICS, DRIVES AND ENERGY SYSTEMS & POWER INDIA;Work in Progress
JOINT MODULAR LANGUAGES CONFERENCE;Work in Progress
JOINT PATTERN RECOGNITION SYMPOSIUM;Work in Progress
WORKSHOP ON JOB SCHEDULING STRATEGIES FOR PARALLEL PROCESSING;A-
INTERNATIONAL WORKSHOP ON JAVA TECHNOLOGIES FOR REAL-TIME AND EMBEDDED SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON LEGAL KNOWLEDGE AND INFORMATION SYSTEMS;Work in Progress
KNOWLEDGE CAPTURE;B
ACM INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING;A++
KNOWLEDGE DOMAIN VISUALISATION;Work in Progress
INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND ONTOLOGY DEVELOPMENT;Work in Progress
KES INTERNATIONAL SYMPOSIUM ON INTELLIGENT DECISION TECHNOLOGIES;Work in Progress
INTERNATIONAL SYMPOSIUM ON INTELLIGENT AND INTERACTIVE MULTIMEDIA: SYSTEMS AND SERVICES;Work in Progress
INTERNATIONAL CONFERENCE ON KNOWLEDGE-BASED AND INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS;B-
INTERNATIONAL CONFERENCE ON KNOWLEDGE, INFORMATION, AND CREATIVITY SUPPORT SYSTEMS;Work in Progress
KOMMUNIKATION IN VERTEILTEN SYSTEMEN;Work in Progress
KOLI CALLING INTERNATIONAL CONFERENCE ON COMPUTING EDUCATION RESEARCH;Work in Progress
INTERNATIONAL CONFERENCE ON PRINCIPLES OF KNOWLEDGE REPRESENTATION AND REASONING;A+
INTERNATIONAL CONFERENCE ON KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT;Work in Progress
KNOWLEDGE VISUALIZATION AND VISUAL THINKING;Work in Progress
LEARNING AT SCALE;Work in Progress
LATIN AMERICAN WEB CONGRESS;Work in Progress
LOGICAL ASPECTS OF COMPUTATIONAL LINGUISTICS;Work in Progress
LATIN-AMERICAN SYMPOSIUM ON DEPENDABLE COMPUTING;Work in Progress
LATIN-AMERICAN ALGORITHMS, GRAPHS AND OPTIMIZATION SYMPOSIUM;Work in Progress
LATIN AMERICA NETWORKING CONFERENCE;Work in Progress
IEEE LAN/MAN WORKSHOP;Work in Progress
LATIN AMERICAN NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM;Work in Progress
LOUGHBOROUGH ANTENNAS AND PROPAGATION CONFERENCE;Work in Progress
LANGUAGE AND AUTOMATA THEORY AND APPLICATIONS;Work in Progress
LATIN AMERICAN SYMPOSIUM ON THEORETICAL INFORMATICS;B-
IEEE LATIN-AMERICAN CONFERENCE ON COMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON CRYPTOLOGY AND INFORMATION SECURITY IN LATIN;Work in Progress
IEEE LATIN AMERICAN TEST WORKSHOP;Work in Progress
LINGUISTIC ANNOTATION WORKSHOP;Work in Progress
WORKSHOP ON LOCATION-BASED SOCIAL NETWORKS;Work in Progress
IEEE CONFERENCE ON LOCAL COMPUTER NETWORKS;B
INTERNATIONAL WORKSHOP ON LANGUAGES AND COMPILERS FOR PARALLEL COMPUTING;B
ACM SIGPLAN CONFERENCE ON LANGUAGES, TOOLS, AND COMPILERS FOR EMBEDDED SYSTEMS;B
IEEE SYMPOSIUM ON LARGE DATA ANALYSIS AND VISUALIZATION;Work in Progress
LANGUAGE, DATA AND KNOWLEDGE;Work in Progress
LANGUAGE DESCRIPTIONS, TOOLS AND APPLICATIONS;Work in Progress
USENIX CONFERENCE ON LARGE-SCALE EXPLOITS AND EMERGENT THREATS;Work in Progress
LOGIC AND ENGINEERING OF NATURAL LANGUAGE SEMANTICS;Work in Progress
LASERS AND ELECTRO-OPTICS SOCIETY MEETING;Work in Progress
LARGE ENGINEERING SYSTEMS CONFERENCE ON POWER ENGINEERING;Work in Progress
LOGICAL FOUNDATIONS OF COMPUTER SCIENCE;Work in Progress
IEEE SYMPOSIUM ON LOGIC IN COMPUTER SCIENCE;A+
WORKSHOP ON LIGHTWEIGHT SECURITY AND PRIVACY: DEVICES, PROTOCOLS, AND APPLICATIONS;Work in Progress
LEARNING AND INTELLIGENT OPTIMIZATION;Work in Progress
USENIX LARGE INSTALLATION SYSTEMS ADMINISTRATION CONFERENCE;Work in Progress
LONG ISLAND SYSTEMS, APPLICATIONS AND TECHNOLOGY CONFERENCE;Work in Progress
LOCATION- AND CONTEXT-AWARENESS;Work in Progress
INTERNATIONAL SYMPOSIUM ON LOGIC-BASED PROGRAM SYNTHESIS AND TRANSFORMATION;Work in Progress
LOGIC PROGRAMMING AND AUTOMATED REASONING;B
INTERNATIONAL CONFERENCE ON LOGIC PROGRAMMING AND NON-MONOTONIC REASONING;B-
INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION;B
LANGUAGE AND TECHNOLOGY CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON LATENT VARIABLE ANALYSIS AND SIGNAL SEPARATION;Work in Progress
INTERNATIONAL WORKSHOP ON LOCATION AND THE WEB;Work in Progress
INTERNATIONAL WORKSHOP ON MULTI-AGENT-BASED SIMULATION;Work in Progress
MACIS: INTERNATIONAL CONFERENCE OF MATHEMATICAL ASPECTS OF COMPUTER AND INFORMATION SCIENCES;Work in Progress
ANNUAL MEDITERRANEAN AD HOC NETWORKING WORKSHOP;Work in Progress
INTERNATIONAL CONFERENCE ON MALICIOUS AND UNWANTED SOFTWARE;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON MICROWAVE, ANTENNA, PROPAGATION AND EMC TECHNOLOGIES FOR WIRELESS COMMUNICATIONS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON MODELING ANALYSIS AND SIMULATION OF COMPUTER AND TELECOMMUNICATION SYSTEMS;B
IEEE INTERNATIONAL CONFERENCE ON MOBILE AD-HOC AND SENSOR SYSTEMS;B
NET OBJECT DAYS (INCLUDINGS MATES, ENASE ETC.);Not Rated (see ENASE)
GERMAN CONFERENCE ON MULTIAGENT SYSTEM TECHNOLOGIES;Work in Progress
MULTIPLE CRITERIA DECISION MAKING;Work in Progress
THE MULTICONFERENCE ON COMPUTATIONAL ENGINEERING IN SYSTEMS APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON MATHEMATICS AND COMPUTATION IN MUSIC;Work in Progress
IEEE MULTI-CHIP MODULE CONFERENCE;Work in Progress
INTERNATIONAL WORKSHOP ON MULTIPLE CLASSIFIER SYSTEMS;B
MACHINES, COMPUTATIONS AND UNIVERSALITY (WAS UNIVERSAL MACHINES AND COMPUTATIONS);Work in Progress
MODELING DECISIONS FOR ARTIFICIAL INTELLIGENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT;B
MEDITERRANEAN CONFERENCE ON CONTROL AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON MANAGEMENT OF DIGITAL ECOSYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON MODEL AND DATA ENGINEERING;Work in Progress
INTERNATIONAL HEALTH MEDICAL) INFORMATICS CONGRESS;Work in Progress
MEDITERRANEAN ELECTROTECHNICAL CONFERENCE;Work in Progress
